arrivetime,leavetime,inweight,outweight,location,systemno
"04/08/2025, 08:57:11","04/08/2025, 08:58:13",9.8,0.0,Mill 1,1
"04/14/2025, 14:53:44","04/14/2025, 14:54:22",1.3,7.4,Loading,1
"04/14/2025, 14:56:05","04/14/2025, 14:57:10",1.3,7.4,Loading,1
"04/14/2025, 14:58:31","04/14/2025, 14:59:04",7.4,2.9,Mill 1,1
"04/14/2025, 15:03:59","04/14/2025, 15:04:34",1.3,7.4,Loading,1
"04/14/2025, 15:06:32","04/14/2025, 15:07:09",1.3,12.1,Loading,1
"04/14/2025, 15:08:23","04/14/2025, 15:09:03",12.1,7.5,Mill 1,1
"04/14/2025, 15:13:53","04/14/2025, 15:16:00",1.3,12.1,Loading,1
"04/14/2025, 15:20:26","04/14/2025, 15:21:04",1.3,12.1,Loading,1
"04/14/2025, 15:30:27","04/14/2025, 15:31:04",1.3,13.2,Loading,1
"04/14/2025, 15:38:57","04/14/2025, 15:39:37",1.3,13.2,Loading,1
"04/14/2025, 15:47:01","04/14/2025, 15:47:32",1.3,13.2,Loading,1
"04/14/2025, 15:53:28","04/14/2025, 15:53:51",1.3,13.2,Loading,1
"04/14/2025, 15:56:58","04/14/2025, 15:57:22",1.3,13.2,Loading,1
"04/14/2025, 15:59:28","04/14/2025, 15:59:51",1.3,13.2,Loading,1
"04/14/2025, 16:00:52","04/14/2025, 16:01:30",1.3,13.2,Loading,1
"04/14/2025, 16:07:54","04/14/2025, 16:08:19",1.3,13.2,Loading,1
"04/14/2025, 16:11:03","04/14/2025, 16:11:31",1.3,13.2,Loading,1
"04/14/2025, 16:12:25","04/14/2025, 16:13:10",13.2,4.1,Mill 2,1
"04/14/2025, 16:13:52","04/14/2025, 16:14:30",4.1,8.7,Loading,1
"04/14/2025, 16:19:07","04/14/2025, 16:19:30",1.3,8.7,Loading,1
"04/14/2025, 16:20:46","04/14/2025, 16:21:09",1.3,8.7,Loading,1
"04/14/2025, 16:23:51","04/14/2025, 16:24:16",1.3,8.7,Loading,1
