arrivetime,leavetime,inweight,outweight,location,systemno
"04/10/2025, 10:34:26","04/10/2025, 10:35:34",1.3,5.9,Loading,1
"04/10/2025, 10:38:26","04/10/2025, 10:39:48",5.9,1.3,Mill 1,1
"04/10/2025, 10:41:45","04/10/2025, 10:46:32",1.3,5.9,Loading,1
"04/10/2025, 10:49:14","04/10/2025, 10:51:07",5.9,1.3,Mill 1,1
"04/10/2025, 10:52:11","04/10/2025, 10:53:46",1.3,5.8,Loading,1
"04/10/2025, 10:57:41","04/10/2025, 10:59:49",5.8,1.3,Mill 2,1
"04/10/2025, 11:26:50","04/10/2025, 11:28:06",5.9,10.4,Loading,1
"04/10/2025, 11:28:23","04/10/2025, 11:30:09",10.4,1.3,Mill 1,1
"04/10/2025, 11:35:14","04/10/2025, 11:36:11",5.8,1.3,Mill 1,1
"04/14/2025, 11:19:04","04/14/2025, 11:19:48",1.3,13.0,Loading,1
